日期,项目名称,Star数,分类,痛点,推荐语,链接,原始描述
2025-11-26,ai-102-questions,7,资源,帮助考生高效备考微软AI-102认证考试,想过AI-102？这份资料让你少走弯路，轻松拿证！,https://github.com/smithyou12/ai-102-questions,"I prepared for the Microsoft AI-102 exam with pass4surehub, and it definitely paid off. the material made studying smoother. https://www.pass4surehub.com/"
2025-11-26,Neptune-Memory-Dumper,4,工具,从内存中直接转储进程，获取解密后的数据用于逆向分析,游戏/软件逆向神器！内存数据一抓就出，解密信息轻松到手！,https://github.com/paysonism/Neptune-Memory-Dumper,"Dump processes directly from memory to get decrypted information for Reverse Engineering games, applications, and more!"
2025-11-26,WaryasSWHE,3,工具,利用0day Shatter攻击绕过任意访问控制（AC）机制,一个用户态提权利器，轻松绕过系统访问控制！,https://github.com/waryas/WaryasSWHE,Usermode exploit to bypass any AC using a 0day shatter attack.
2025-11-26,kk-pynodes,3,工具,让编写 Python 代码像搭积木一样直观，无需记忆复杂语法。,可视化写 Python？拖拖拽拽就搞定，代码小白也能秒上手！,https://github.com/ksasukirk/kk-pynodes,Use a visual node editor to code Python.
2025-11-26,digital-inequality-brazil,3,资源,揭示巴西数字鸿沟现状，用数据呈现区域间网络与基础设施差距。,用真实数据看清巴西的“网速贫富差”，数字公平从了解开始！,https://github.com/victorlgim/digital-inequality-brazil,"A data-driven study on Brazil’s digital inequality, exploring connectivity, infrastructure gaps and regional disparities."
2025-11-26,excel-filter-tool,2,工具,告别手动筛选Excel，一键提取指定追踪号,上传即筛，Excel追踪号秒出结果！,https://github.com/czb135/excel-filter-tool,"The Excel Filter Tool is a web-based application designed to quickly process daily Excel files and extract specific tracking numbers based on predefined service number criteria. Instead of manually filtering spreadsheets, users can simply upload a file, instantly view results online, and take action with one click."
2025-11-26,nx-ovlreloader,2,工具,解决 Nintendo Switch 上 nx-ovlloader 插件无法按需热重载的问题,Switch 插件开发神器，改完代码秒生效，不用反复重启！,https://github.com/ppkantorski/nx-ovlreloader,On-demand reload support for nx-ovlloader on the Nintendo Switch
2025-11-26,vimlantis,2,工具,让枯燥的代码浏览变成沉浸式3D航海体验,用小船在代码海洋里航行，写代码也能这么酷！,https://github.com/JRH89/vimlantis,Vimlantis is a Neovim plugin inspired by Gitlantis and Ayla Croft (@aylacroft) that transforms your codebase into an immersive 3D ocean environment. Navigate your files and folders by sailing a boat through a virtual sea!
2025-11-26,NIST-Password-Strength-Checker,2,工具,解决密码强度评估不合规、无法识别已泄露密码的问题,用NIST标准+RockYou泄露库，一键揪出弱密码！,https://github.com/dearlyonald/NIST-Password-Strength-Checker,NIST-compliant password strength checker with RockYou breach detection.
2025-11-26,create-tanstack-boilerplate,2,工具,快速搭建生产级 TanStack Start 应用，省去繁琐配置,一行命令，秒建带认证、国际化、Tailwind 的全栈 React 项目！,https://github.com/phuocAnonydev14/create-tanstack-boilerplate,"The ultimate CLI to scaffold production-ready TanStack Start applications. Features interactive setup for Vite, React 19, TailwindCSS, i18n, Auth, and more. Get started with a scalable full-stack React framework in seconds."
